SNP	BETA_TRUE
rs1	0.000000e+00
rs2	9.631536e-02
rs3	0.000000e+00
rs4	0.000000e+00
rs5	0.000000e+00
rs6	0.000000e+00
rs7	0.000000e+00
rs8	0.000000e+00
rs9	0.000000e+00
rs10	0.000000e+00
rs11	0.000000e+00
rs12	0.000000e+00
rs13	0.000000e+00
rs14	0.000000e+00
rs15	0.000000e+00
rs16	0.000000e+00
rs17	0.000000e+00
rs18	0.000000e+00
rs19	2.127781e-01
rs20	0.000000e+00
rs21	-3.374120e-02
rs22	0.000000e+00
rs23	0.000000e+00
rs24	0.000000e+00
rs25	7.424989e-02
rs26	0.000000e+00
rs27	0.000000e+00
rs28	0.000000e+00
rs29	0.000000e+00
rs30	0.000000e+00
rs31	0.000000e+00
rs32	0.000000e+00
rs33	0.000000e+00
rs34	0.000000e+00
rs35	0.000000e+00
rs36	0.000000e+00
rs37	0.000000e+00
rs38	0.000000e+00
rs39	0.000000e+00
rs40	0.000000e+00
rs41	0.000000e+00
rs42	0.000000e+00
rs43	0.000000e+00
rs44	0.000000e+00
rs45	0.000000e+00
rs46	0.000000e+00
rs47	0.000000e+00
rs48	0.000000e+00
rs49	0.000000e+00
rs50	0.000000e+00
rs51	0.000000e+00
rs52	0.000000e+00
rs53	0.000000e+00
rs54	0.000000e+00
rs55	0.000000e+00
rs56	1.744342e-02
rs57	0.000000e+00
rs58	0.000000e+00
rs59	0.000000e+00
rs60	0.000000e+00
rs61	0.000000e+00
rs62	0.000000e+00
rs63	0.000000e+00
rs64	0.000000e+00
rs65	0.000000e+00
rs66	-2.233382e-03
rs67	0.000000e+00
rs68	0.000000e+00
rs69	0.000000e+00
rs70	0.000000e+00
rs71	0.000000e+00
rs72	0.000000e+00
rs73	0.000000e+00
rs74	0.000000e+00
rs75	0.000000e+00
rs76	0.000000e+00
rs77	0.000000e+00
rs78	0.000000e+00
rs79	0.000000e+00
rs80	0.000000e+00
rs81	0.000000e+00
rs82	0.000000e+00
rs83	0.000000e+00
rs84	0.000000e+00
rs85	-4.071469e-02
rs86	0.000000e+00
rs87	0.000000e+00
rs88	0.000000e+00
rs89	0.000000e+00
rs90	6.187281e-02
rs91	0.000000e+00
rs92	0.000000e+00
rs93	0.000000e+00
rs94	0.000000e+00
rs95	0.000000e+00
rs96	0.000000e+00
rs97	0.000000e+00
rs98	0.000000e+00
rs99	0.000000e+00
rs100	0.000000e+00
rs101	-8.737691e-02
rs102	0.000000e+00
rs103	0.000000e+00
rs104	0.000000e+00
rs105	0.000000e+00
rs106	0.000000e+00
rs107	0.000000e+00
rs108	0.000000e+00
rs109	0.000000e+00
rs110	0.000000e+00
rs111	0.000000e+00
rs112	0.000000e+00
rs113	0.000000e+00
rs114	0.000000e+00
rs115	0.000000e+00
rs116	0.000000e+00
rs117	0.000000e+00
rs118	0.000000e+00
rs119	0.000000e+00
rs120	0.000000e+00
rs121	0.000000e+00
rs122	0.000000e+00
rs123	0.000000e+00
rs124	0.000000e+00
rs125	0.000000e+00
rs126	0.000000e+00
rs127	0.000000e+00
rs128	0.000000e+00
rs129	0.000000e+00
rs130	2.455829e-01
rs131	0.000000e+00
rs132	1.700779e-01
rs133	0.000000e+00
rs134	0.000000e+00
rs135	0.000000e+00
rs136	0.000000e+00
rs137	0.000000e+00
rs138	0.000000e+00
rs139	0.000000e+00
rs140	0.000000e+00
rs141	0.000000e+00
rs142	-4.302251e-02
rs143	0.000000e+00
rs144	0.000000e+00
rs145	0.000000e+00
rs146	0.000000e+00
rs147	0.000000e+00
rs148	0.000000e+00
rs149	0.000000e+00
rs150	0.000000e+00
rs151	0.000000e+00
rs152	0.000000e+00
rs153	0.000000e+00
rs154	0.000000e+00
rs155	0.000000e+00
rs156	0.000000e+00
rs157	0.000000e+00
rs158	0.000000e+00
rs159	0.000000e+00
rs160	0.000000e+00
rs161	0.000000e+00
rs162	3.411684e-02
rs163	0.000000e+00
rs164	0.000000e+00
